object_name,object_name_new
BP_SM_Accessory_Abacus,Accessory_Abacus
BP_SM_Accessory_Gym_Barbell,Accessory_Barbell
BP_SM_Accessory_Basket005,Accessory_Basket
BP_SM_Accessory_Cymbals,Accessory_Cymbals
BP_SM_Accessory_11,Accessory_PaperPen
BP_SM_AirCondition_2,AirCondition_01
BP_SM_AirCondition_032,AirCondition_02
BP_SM_AirCondition_Stand,AirCondition_Stand
BP_SM_Fruit_Apples,Apples
BP_SM_Bag_01,Bag
BP_SDSM_Ball_Basketball,Basketball
BP_SM_BathCabinet_005_Body,BathCabinet
BP_SM_BathShelf_01,BathShelf_01
BP_SM_BathShelf_02,BathShelf_02
BP_SM_Bathtub_1,Bathtub_01
BP_SM_BathTub_01_Body,Bathtub_01B
BP_SM_BathTub_005,Bathtub_02
BP_SM_Bed_01,Bed_01
BP_SM_Bed_Frame_01,Bed_01F
BP_SM_Bed_02,Bed_02
BP_SM_Bed_Child_Body05,Bed_03
BP_SM_Bed_Childrens,Bed_04
BP_SM_Bed_DubleR1,Bed_05
BP_SM_Bed_Attic,Bed_Attic
BP_SM_Bed_Attic_mattress,Bed_Attic_Mattress
BP_SM_Bed_Blanket_02,Bed_Blanket
BP_SM_Bed_Duble_mattress,Bed_Mattress
BP_SM_Bed_Duble_quilt,Bed_Quilt_01
BP_SM_Bed_Guilt,Bed_Quilt_02
BP_SM_Bed_Sheet_01,Bed_Sheet
BP_SM_Bedside_12,Bedside_01
BP_SM_Bedside_05_Body,Bedside_02
BP_SM_Bedside_07_Body,Bedside_03
BP_SM_Bedside_05_Drawer,Bedside_Drawer_02
BP_SM_Bedside_07_Drawer,Bedside_Drawer_03
BP_SM_Bedside_shelf,Bedside_Shelf
BP_SM_Bicycle_01,Bicycle_01
BP_SM_Bicycle_03,Bicycle_02
BP_SM_blackboard_02,Blackboard
BP_SM_Book_case,Bookcase
BP_SM_Bookend,Bookend
BP_SM_Bookshelves_04,Bookshelves_01
BP_SM_Bookshelves_08,Bookshelves_02
BP_SM_Bookshelves_09,Bookshelves_03
BP_SM_Bookshelves_15,Bookshelves_04
BP_SM_Bookshelves_16,Bookshelves_05
BP_SM_Bookshelves_23,Bookshelves_06
BP_SM_BookShelves_30,Bookshelves_07
BP_SM_BookShelves_31,Bookshelves_08
BP_SM_BookShelves_34,Bookshelves_09
BP_SM_BookShelves_35,Bookshelves_10
BP_SM_BookShelves_36,Bookshelves_11
BP_SM_BooksStack_1,BookStack_01
BP_SM_BooksStack_3,BookStack_02
BP_SM_BooksStack_4,BookStack_03
BP_SM_BooksStack_7,BookStack_04
BP_SM_BooksStack_008,BookStack_05
BP_SM_BooksStack_Books1,BookStack_06
BP_SM_BooksStack_oks7,BookStack_07
BP_SM_Bottle_01,Bottle_01
BP_SM_Bottle_11,Bottle_02
BP_SM_med_Bottle,Bottle_03
BP_SM_Bowl_6,Bowl_01
BP_SM_Bowl_Decor_4,Bowl_02
BP_SM_Bowl_white,Bowl_White
BP_SM_Food_Bread_Box,Bread_Box
BP_SM_Brush_Map005,Brush
BP_SM_Cabinet_14_Body,Cabinet_01
BP_SM_Cabinet_BodyR1,Cabinet_02
BP_SM_Cabinet_Body_BACK005,Cabinet_Body_BACK
BP_SM_Cabinet_Body_DOWN005,Cabinet_Body_DOWN
BP_SM_Cabinet_Body_MID005,Cabinet_Body_MID
BP_SM_Cabinet_Body_STAND005,Cabinet_Body_STAND
BP_SM_Cabinet_Body_UP_005,Cabinet_Body_UP_01
BP_SM_Cabinet_Body_UP_006,Cabinet_Body_UP_02
BP_SM_Cabinet_door005,Cabinet_Door
BP_SM_Cabinet_ShelfAttic,Cabinet_Shelf
BP_SM_Decor_Calendar,Calendar
BP_SM_Cap_1,Cap
BP_SM_Carpet6,Carpet_01
BP_SM_Carpet_01,Carpet_02
BP_SM_Carpet_04,Carpet_03
BP_SM_Carpet_06,Carpet_04
BP_SM_Carpet_9,Carpet_05
BP_SM_Carpet_Blanket,Carpet_06
BP_SM_Carpet_R3,Carpet_07
BP_SM_Carpet_R4,Carpet_08
BP_SDSM_Chair_B2,Chair_01
BP_SM_Chair_001,Chair_02
BP_SM_Chair_10,Chair_03
BP_SM_Chair_15,Chair_04
BP_SM_Chair_78,Chair_05
BP_SM_Chair_a,Chair_06
BP_SM_Chair_A_1,Chair_07
BP_SM_Chair_Dining_Set,Chair_08
BP_SM_Chair_Dresser_002,Chair_09
BP_SM_Chair_Kids,Chair_10
BP_SM_Chair_Map99_03,Chair_11
BP_SM_Chair_Rocking,Chair_Rocking
BP_SM_Chair_Swing,Chair_Swing
BP_SM_Clock_Meatl,Clock
BP_SM_Closet_01_Body,Closet_01
BP_SM_Closet_02_Body,Closet_02
BP_SM_Closet_Hallway,Closet_03
BP_SM_Closet_R3Body,Closet_04
BP_SM_Closet_01_Door,Closet_Door_01
BP_SM_Closet_02_Door2,Closet_Door_02
BP_SM_Closet_05_Door,Closet_Door_03
BP_SM_Closet_02_Door1_Left,Closet_Door_L_01
BP_SM_Closet_Door_L,Closet_Door_L_02
BP_SM_Closet_02_Door1_Right,Closet_Door_R_01
BP_SM_Closet_Door_R,Closet_Door_R_02
BP_SM_Closet_02_Drawer1,Closet_Drawer_01
BP_SM_Closet_02_Drawer2,Closet_Drawer_02
BP_SM_Cloth_07,Cloth_01
BP_SM_Cloth_AdultCoat,Cloth_02
BP_SM_ClothHanged_Dispensary,Cloth_03
BP_SM_Condiment_1,Codiment
BP_SM_CoffeeMachine_express,CoffeeMachine
BP_SM_CoffeeTable_04,CoffeeTable_01
BP_SM_CoffeeTable_21,CoffeeTable_02
BP_SM_CoffeeTable_27,CoffeeTable_03
BP_SM_CoffeeTable_32,CoffeeTable_04
BP_SM_CoffeeTable_35,CoffeeTable_05
BP_SM_CoffeeTable_66,CoffeeTable_06
BP_SM_CoffeeTable_45_Body,CoffeeTable_07
BP_SM_Condiment_StorageJar,Condiment_StorageJar
BP_SM_Cup_10,Cup
BP_SM_Cupboard_14,Cupboard_01
BP_SM_Cupboard_16,Cupboard_02
BP_SM_Cupboard_Childrens,Cupboard_03
BP_SM_Cupboard_cabinet,Cupboard_Cabinet
BP_SM_Cupboard_16_Drawer01,Cupboard_Drawer_01
BP_SM_Cupboard_16_Drawer02,Cupboard_Drawer_02
BP_SM_Cupboard_furniture,Cupboard_Furniture
BP_SM_Cupboard_furniture_DoorL1,Cupboard_Furniture_DoorL
BP_SM_Cupboard_furniture_DoorR1,Cupboard_Furniture_DoorR
BP_SM_Cupboard_Kitchen_Door,Cupboard_Kitchen_Door
BP_SM_Cupboard_Kitchen_Door_B1,Cupboard_Kitchen_DoorL
BP_SM_Cupboard_Kitchen_Door_R1,Cupboard_Kitchen_DoorR
BP_SM_Curtain_Dispensary_02b,Curtain_01
BP_SM_Curtains_01,Curtain_02
BP_SM_Curtains_Back_Low,Curtain_03
BP_SM_Curtains_Bedroom1,Curtain_04
BP_SM_Curtains_Bedroom1_Blue,Curtain_05
BP_SM_Curtains_M01,Curtain_06
BP_SM_Curtains_Red02,Curtain_07
BP_SM_Curtains_Red12,Curtain_08
